direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Av. Acueducto 5151, Puerta de Hierro, 45116 Zapopan, Jal.,  Fraccionamiento Pontevedra, Zapopan",0.77,0.37,3
"Calle bosques del pinar #6,  Las Canadas, Zapopan",0.66,1.31,6.49
"Cisne 1564 .,  Conjunto Zapopan, Zapopan",0.33,1.54,0.08
"PASEO SAN ARTURO 101 101,  Valle Real, Zapopan",2.89,0.5,5.74
"Av. Los Pinos #365, La Venta Del Astillero,  La Venta del Astillero, Zapopan",1.25,0.83,15.83
"Unidad Nacional 3096,  Conjunto Zapopan, Zapopan",0.45,1.6,1.93
"Avenida de la Pradera 560 34,  Zapopan, Jalisco",1.87,0.38,15.8
"Xochitl No. 222,  Ciudad Del Sol, Zapopan",0.87,1.5,8.67
"Valle de la Ameca 3086 Jardines del Valle,  Jardines del Valle, Zapopan",2.58,0.4,4.71
"Altavista Poniente 303,  Altavista Residencial, Zapopan",2.47,1.66,4.47
"Calle 4 # 20,  Seattle, Zapopan",0.16,2.2,1.47
"Av. de los emprerendedores 400,  Fraccionamiento Valle Imperial, Zapopan",2.42,1.99,7.17
"Av. de La huerta 547 int 170,  Campestre los Pinos, Zapopan",2.56,0.08,16.15
"Acueducto 5151,  Fraccionamiento Pontevedra, Zapopan",0.77,0.37,3
"LEONA VICARIO 54,  La Primavera, Zapopan",0.15,0.17,18.32
"Bristol 46,  Virreyes Residencial, Zapopan",2.65,0.4,6.65
"Castilla de la Mancha 68, Real de Valdepenas, Zapopan,  Fraccionamiento Real de Valdepenas, Zapopan",1.35,2.2,3.37
"Av. Vallarta Eje Poniente 2701,  Fraccionamiento Coto Miraflores, Zapopan",0.52,2.02,9.15
"Paseo Abie 440, nuevo Mexico,  Nuevo Mexico, Zapopan",0.29,2.98,6.73
"Av del Bufalo 267,  Fraccionamiento Bugambilias, Zapopan",1.63,1.21,16.13
"Cto. del Bosque 208,,  Bosques Vallarta, Zapopan",0.28,1.8,9.02
"Av. Acueducto #5300,  Puerta de Hierro, Zapopan",0.48,0.71,2.85
"Avenida D 575,  Nuevo Mexico, Zapopan",0.3,0.23,6.62
"Occidental 40, Lomas Atemajac,Zapopan, Jalisco,  Atemajac Del Valle, Zapopan",1.5,2.83,3.48
"Casa EN Venta Lomas DEL Valle 3800 Zapopan Jalisco,  Lomas del Valle, Zapopan",0.81,1.65,2.86
"Calle Blvd. Prol. Mariano Otero 1501, Nueva Galicia, La Tijera, La Tijera, Jal.,  Nueva Galicia, Zapopan",0.44,1.26,17.93
"Av. De Las Palmeras 1179,  La Tuzania, Zapopan",0.87,1.61,3.06
"p de las ardillas 242,  Fraccionamiento Bugambilias, Zapopan",1.1,1.79,16.52
"AV. DEL RENO PONIENTE 4154,  Ciudad Bugambilia, Zapopan",1.44,1.21,15.87
"AV PASEO DE LA CANTERA 406,  Copalita, Zapopan",0.51,0.38,6.8
"Cto. del Bosque  al 493,  Bosques Vallarta, Zapopan",2.83,2.06,9.27
"Rio Tuxcacuesco 1511,  Colinas de Las Aguilas, Zapopan",1.54,0.86,12.13
"Thomas Mann 5715,  Fraccionamiento Jardines Vallarta, Zapopan",1.85,0.07,6.74
"Altanza 3,  Fraccionamiento Solares, Zapopan",2.42,1.99,7.17
"Av Naciones Unidas 7500,  Los Castanos, Zapopan",1.56,0.31,6.84
"Boulevard Valle Imperial 1030,  Fraccionamiento Valle Imperial, Zapopan",2.15,1.81,7.15
"Av del bosque real 1507,  Nuevo Mexico, Zapopan",2.16,1.88,7.85
"Manuel Villalongin 3596,  Atlas Colomos, Zapopan",1.21,1.4,2.21
"Av. Naciones 5989,  Virreyes Residencial, Zapopan",2.65,0.4,6.65
"Av. Leones 350,  Fraccionamiento Bugambilias, Zapopan",1.27,2.39,14.99
"boulevard valle imperial 1664 valle del imperio galo l75,  Fraccionamiento Valle Imperial, Zapopan",2.8,2.49,7.56
"Cancun  5980 28,  Gustavo Diaz Ordaz, Zapopan",1.14,1.1,12.67
"Av Juan Palomar y Arias 1180,  Virreyes Residencial, Zapopan",1.22,2.1,5.45
"Alejandro Dumas 111,  Fraccionamiento Jardines Vallarta, Zapopan",1.89,2.77,6.74
"Av. Aurelio Ortega al 460,  El Capullo, Zapopan",0.27,2.26,1.54
"CIRCUNVALACION SUR 256,  Las Fuentes, Zapopan",0.33,1.49,12.5
"Paseo de Los Robles 4187,  Villa Universitaria, Zapopan",1.38,1.18,4.26
"Av. Juan Palomar y Arias 861,  Villa La Cima, Zapopan",2.66,2.66,5.99
"Av Naciones Unidas 6371,  Virreyes Residencial, Zapopan",2.4,0.34,6.76
"Calle Naranjos 100,  El Centinela, Zapopan",2.69,1.14,4.03
"Camino Viejo a Tesistan 1852, Parques Zapopan, Zapopan, Jal.,  Parques de Zapopan, Zapopan",1.76,2.23,3.76
"AZALEA ORIENTE NO. 1126,  Girasoles Elite, Zapopan",1.37,2.14,3.61
"Juan palomar y Arias 1300,  Vallarta Universidad, Zapopan",1.14,2.18,5.52
"Los Tintoreros #L19 - M 13A, Chapalita Inn, Zapopan,  Chapalita Inn, Zapopan",1.54,2.66,10.02
"Cerro de Cuautla #683, Loma Bonita Ejidal, Zapopan,  Loma Bonita Ejidal, Zapopan",1.54,2.64,11.46
"Bosques de Chapultepec 200,  Las Canadas, Zapopan",2.22,1.59,6.13
"Ah ramon corona 2748,  Valle Real, Zapopan",2.4,1.31,7.39
"PASEO SAN CARLOS 76,  Valle Real, Zapopan",2.26,0.5,6.75
"Av. Paseo Solares 166,  Fraccionamiento Solares, Zapopan",0.02,0.79,6.8
"Prado de los Tabachines  No. 1114,  Prados Tepeyac, Zapopan",2.96,1.18,8.52
"ECONOMOS 5171,  Fraccionamiento Jardines de Guadalupe, Zapopan",1.39,1.99,8.35
"Sta. Lucia #132, Altamira, Zapopan,  Altamira, Zapopan",0.62,2.71,0.97
"Av. Universidad No 600,  Puerta de Hierro, Zapopan",2,0.84,4.16
"CALLE PRADO DE LOS PINOS 1051 TEPEYAC CASINO,  Tepeyac Casino, Zapopan",2.69,1.12,8.57
"Avenida Moctezuma 6205,  Hacienda Del Tepeyac, Zapopan",2.2,1.87,10.29
"ARAUCA 1,  Fraccionamiento Arauca, Zapopan",2.12,1.39,7.79
"Av. Paseo San Rafael 2971 int. 18 Fracc. Valle Real,  Valle Real, Zapopan",0.2,0.63,6.77
"LOS ROBLES  1,  Los Robles, Zapopan",2.07,1.33,4.9
"Boulevard Valle Imperial 14, Valle Imperial, Zapopan, Jalisco,  Fraccionamiento Valle Imperial, Zapopan",2.87,2.57,7.67
