direccion,Distancia al parque (km),Distancia a plaza (km),Distancia al centro de la ciudad (km)
"Avenida Valdivia 320,  Hacienda Santa Fe, Tlajomulco de Zuniga",2.53,0.74,8.96
"Paseo de los Laureles 212,  El Palomar, Tlajomulco de Zuniga",1.22,1.54,12.58
"Calle Blvd. Prol. Mariano Otero 1501,  Coto Nueva Galicia, Tlajomulco de Zuniga",0.44,1.26,11.59
"AVENIDA MORON 204,  Fraccionamiento Hacienda Santa Fe, Tlajomulco de Zuniga",2.88,0.61,9.41
"HGC3+GV2 Bosques Santa Anita, Jalisco, Mexico,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.52,0.12,11.8
"Avenida Camino Real a Colima 889,  Residencial Provenza, Tlajomulco de Zuniga",2.6,1.53,9.43
"Boulevard Alta California 324 98-5,  Fraccionamiento Villa California, Tlajomulco de Zuniga",2.98,2.09,6.33
"Casa EN Venta Santa Agustin 19 Tlajomulco DE Zuniga,  San Agustin, Tlajomulco de Zuniga",2.94,2.23,6.17
"lago maggiore 256,  Fraccionamiento La Arbolada, Tlajomulco de Zuniga",2.88,0.61,9.26
"Boulevard Bosques de Santa Anita 245,  Tlajomulco de Zuniga, Jalisco",0.81,1.84,10.6
"sendero de la montana 0,  Fraccionamiento Senderos de Monte Verde, Tlajomulco de Zuniga",2.75,1.28,6.54
"SANTA ANITA 33,  San Agustin, Tlajomulco de Zuniga",0.75,1.97,10.79
"habra 16,  Alta California Residencial, Tlajomulco de Zuniga",2.55,2.99,5.97
"Boulevard La Rua (Residencial La Rua) 40,  San Agustin, Tlajomulco de Zuniga",1.5,1.56,7.72
"De La Cuspide 105,  El Palomar, Tlajomulco de Zuniga",2.31,2.61,12.91
"Calle Santiago Flores 29,  Cofradia, Tlajomulco de Zuniga",0.11,2.51,7.97
"Calle 24 de Diciembre 52,  La Tijera, Tlajomulco de Zuniga",1.55,1.53,11.87
"Avenida Santa Ana 260,  Hacienda Santa Fe, Tlajomulco de Zuniga",2.77,0.89,8.68
"PARAJE 30,  Jardines de Santa Anita, Tlajomulco de Zuniga",1.27,2.52,9.12
"Boulevard Bosques de Santa Anita 2377,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.73,0.37,11.99
"PASEO DEL BOSQUE 42,  Fraccionamiento El Manantial, Tlajomulco de Zuniga",2.5,1.04,10.2
"Boulevard alta california 154,  Alta California Residencial, Tlajomulco de Zuniga",2.55,2.98,5.97
"Calle Almeria  365 Coto Barcelona,  La Tijera, Tlajomulco de Zuniga",1.32,1.8,11.14
"Prolongacion Mariano Otero 1519 coto Sevilla int 3,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",1.13,1.75,11.1
"Blvrd Bosques de Santa Anita 2377  , Santa Anita , 45645 Tlajomulco de Zuniga, Jalisco, Mexico,  Santa Anita, Tlajomulco de Zuniga",0.73,0.37,11.99
"Avenida Central 21,  Balcones de La Calera, Tlajomulco de Zuniga",0.16,,19.15
"Av. Vuelo de las Grullas 200,  San Agustin, Tlajomulco de Zuniga",2.42,1.33,9.16
"avenida adamar 0,  Adamar, Tlajomulco de Zuniga",1.66,0.73,7.16
"Paseo del Fuerte Poniente #18,  Casa Fuerte, Tlajomulco de Zuniga",1.87,0.97,7.11
"Cielo 449,  Tlajomulco de Zuniga, Jalisco",0.23,0.87,2.88
"Calle Antiguo Camino Real de Colima 180,  Tlajomulco de Zuniga, Jalisco",2.57,2.56,6.69
"camino real a colima 3002,  Fraccionamiento El Oro, Tlajomulco de Zuniga",1.45,0.98,8.35
"almeria 387,  La Tijera, Tlajomulco de Zuniga",1.42,1.83,11.18
"CIRCUITO SANTA ANITA #601 - EXT 00L-5,  Santa Anita, Tlajomulco de Zuniga",0.39,2,11.06
"Camino a las Moras 675 165,  Lomas de Tejeda Habitacional, Tlajomulco de Zuniga",2.75,2.12,10.42
"Lomas de los olivos 22  , Lomas de San Agustin , 45650 Tlajomulco de Zuniga, Jalisco, Mexico,  Lomas de San Agustin, Tlajomulco de Zuniga",0.15,1.85,5.88
"Malvas 140,  Jardines de La Calera, Tlajomulco de Zuniga",0.38,2.01,18.89
"Av Rosario 206,  Hacienda Santa Fe, Tlajomulco de Zuniga",2.85,0.61,9.49
"Pontevedra 1,  La Tijera, Tlajomulco de Zuniga",0.97,1.62,11.21
"Av. Real Camino a Colima 200,  Adamar, Tlajomulco de Zuniga",2.12,0.56,6.75
"Logrono 776 fracc la Rioja,  La Rioja, Tlajomulco de Zuniga",2.05,1.56,10.69
"6387,  Punto Sur, Tlajomulco de Zuniga",2.04,1.49,10.11
"CAM. A SAN ISIDRO 1540,  Condominio Santa Anita, Tlajomulco de Zuniga",1.01,2.7,8.77
"Haro 699,  La Rioja, Tlajomulco de Zuniga",1.55,2.41,11.02
"Laguna de Chapala 13,  San Agustin, Tlajomulco de Zuniga",2.9,2.49,6.95
"Av. Bosques 1064,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.18,0.46,11.63
"Bosques de Santa Anita al 400,  Bosques de Santa Anita, Tlajomulco de Zuniga",0.67,2.01,10.72
"LOPEZ MATEOS SUR 5555,  Residencial Provenza, Tlajomulco de Zuniga",2.09,1.37,10.16
"Ramon Corona 300, Los Naranjos Fraccionamiento,  Santa Anita, Tlajomulco de Zuniga",0.93,1.27,8.53
"Av Lopez Mateos Sur 5555,  Residencial Provenza, Tlajomulco de Zuniga",2.09,1.37,10.16
"RINCONADA DEL ROCIO 167,  El Palomar, Tlajomulco de Zuniga",1.34,1.92,12.12
"Camino de los Girasoles 1,  Fraccionamiento Cortijo de San Agustin, Tlajomulco de Zuniga",2.11,2.96,6.35
"Cerro Verde 118 Interior F-11,  Fraccionamiento San Diego, Tlajomulco de Zuniga",0,1.45,6.78
"AV. ADAMAR (COTO MAREVNA) 1216-18,  Adamar, Tlajomulco de Zuniga",1.74,0.67,7.08
"Av. Casa fuerte 96,  Casa Fuerte, Tlajomulco de Zuniga",1.21,1.2,7.62
"Avenida Adamar 872 32,  Adamar, Tlajomulco de Zuniga",1.81,0.58,7.01
"Avenida Paseo del Palomar 234,  Tlajomulco de Zuniga, Jalisco",1.58,2.13,12.17
"Av Magallanes 1130,  Punto Sur, Tlajomulco de Zuniga",1.6,2.49,10.53
"Coto El Vigia 126 , Paseo del Vigia, Tlajomulco de Zuniga, Jalisco,  Casa Fuerte, Tlajomulco de Zuniga",1.55,0.9,7.29
"PASEO DE LOS TABACHINES 17D,  Bosques Cedros, Tlajomulco de Zuniga",0.35,2.87,11.56
"Rio de Janeiro 278,  Hacienda Santa Fe, Tlajomulco de Zuniga",1.28,0.86,9.55
"Manzana 1 #27 local 4 Cajititlan,  Colinas de CajititlAn, Tlajomulco de Zuniga",0.47,1.5,16.21
"17 Mayo,  La Tijera, Tlajomulco de Zuniga",1.5,1.58,11.71
"Camino a las moras 1516, Los Laureles, 45645, Tlajomulco de Zuniga, Mexico,  Los Laureles, Tlajomulco de Zuniga",2.92,1.54,10.09
"Najerilla 863,  La Rioja, Tlajomulco de Zuniga",2.36,1.75,10.96
"Rinconada del Acueducto 118,  El Palomar, Tlajomulco de Zuniga",2.29,2.52,13.08
"Quetzalcoatl 61 int ,  Cerro Viejo, Tlajomulco de Zuniga",1.57,1.33,1.99
"calle Onix 250,  Fraccionamiento Bonanza Residencial, Tlajomulco de Zuniga",2.54,1.58,7.82
"Coto Cadiz 0,  Fraccionamiento Nueva Galicia Residencial, Tlajomulco de Zuniga",1.19,1.6,11.35
