url,titulo,precio,direccion,m2_lote,m2_construccion,banos,medio_banos,estacionamientos,recamaras,antiguedad
https://www.vivanuncios.com.mx/a-venta-casa/colinas-de-la-normal/casa-con-local-en-la-normal/145522238,Casa con Local en La Normal,"ventaMN 6,990,000","Colinas de la normal,  Colinas de La Normal, Guadalajara",270²,270²,5,2,3,3,30
https://www.vivanuncios.com.mx/a-venta-casa/providencia-4a-secc/casa-de-lujo-a-estrenar-en-venta-amueblada-en-providencia/146092823,,,,,,,,,,
https://www.vivanuncios.com.mx/a-venta-casa/la-loma/oportunidad-casa-en-venta-enfrente-del-cusei-revolucion/147066280,"Oportunidad, Casa en Venta Enfrente del Cusei Revolucion","ventaMN 3,600,000","Av. Revolución ,  La Loma, Guadalajara",123²,168²,2,1,2,4,35
https://www.vivanuncios.com.mx/a-venta-casa/jardines-el-sauz/venta-de-casa-en-jardines-del-sauz-guadalajara/146997441,Venta de Casa en Jardines del Sauz Guadalajara,"ventaMN 428,303","Av Jaime Torres Bodet 3224,  Jardines El Sauz, Guadalajara",70²,90²,1,1,1,3,16
https://www.vivanuncios.com.mx/a-venta-casa/barrio-santa-teresita/casa-en-venta-en-colonia-santa-tere-guadalajara-jalisco/145586187,"Casa en Venta en Colonia Santa Tere Guadalajara, Jalisco","ventaMN 7,350,000","Joaquin Angulo 982,  Barrio Santa Teresita, Guadalajara",220²,180²,3,,1,3,1
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-venta-en-providencia/146743695,Casa en Venta en Providencia,"ventaMN 8,800,000","providencia,  Providencia, Guadalajara",298²,193²,3,1,2,4,15
https://www.vivanuncios.com.mx/a-venta-casa/monumental/casa-en-venta-colonia-monumental/146524381,Casa en Venta Colonia Monumental,"ventaMN 5,545,000","PIRINEAS 1871,  Monumental, Guadalajara",,,,,1,,
https://www.vivanuncios.com.mx/a-venta-casa/providencia/casa-en-colomos-providencia/147019564,Casa en Colomos Providencia,"ventaMN 13,500,000","Antofagasta 2248,  Providencia, Guadalajara",415²,483²,5,1,5,5,20
https://www.vivanuncios.com.mx/a-venta-casa/americana/casa-en-venta-colonia-americana/146524282,Casa en Venta Colonia Americana,"ventaMN 11,500,000","GENERAL SAN MARTIN 1,  Americana, Guadalajara",315²,272²,2,2,2,3,
https://www.vivanuncios.com.mx/a-venta-casa/fraccionamiento-rinconada-santa-rita/casa-en-venta-en-rinconada-santa-rita/146885310,Casa en Venta en Rinconada Santa Rita,"ventaMN 20,800,000","Manuel Acuna 3540,  Fraccionamiento Rinconada Santa Rita, Guadalajara",500²,460²,4,1,6,5,25
